id,id_paper,reference
111,7,"M. Mrozek and T. Wanner, ""Coreduction homology algorithm for inclusions and persistent homology"", Computers and Mathematics with Applications accepted, 2010."
112,7,"D. Morozov, ""Persistence algorithm takes cubic time in the worst case"", BioGeometry News, 2005."
113,7,"N. Milosavljevic, D. Morozov and P. Skraba, ""Zigzag Persistent Homology in Matrix Multiplication Time"", Proceedings of the 27th annual symposium on Computational geometry, 2011."
114,7,"C. Chen and M. Kerber, ""An Output-Sensitive Algorithm for Persistent Homology"", Proceedings of the 27th annual symposium on Computational geometry, 2011."
115,7,"H. Wagner, C. Chen and E. Vucini, ""Efficient computation of persistent homology for cubical data"", Proc. TopoInVis, April 2011."
116,7,"J. Milnor, Topology from the differentiable viewpoint, Univ. Press Virginia, 1965."
117,7,"T. Lewiner, ""Geometric discrete Morse complexes"", Aug 2005."
118,7,"T. Lewiner, H. Lopes and G. Tavares, ""Optimal discrete Morse functions for 2-manifolds"", Computational Geometry: Theory and Applications, vol. 26, no. 3, pp. 221-233, November 2003."
119,7,"U. Bauer, C. Lange and M. Wardetzky, ""Optimal topological simplification of discrete functions on surfaces"", CoRR, 2010."
120,7,"J. Reininghaus, D. Günther, I. Hotz, S. Prohaska and H.-C. Hege, ""TADD: A computational framework for data analysis using discrete Morse theory"" in Mathematical Software – ICMS, Springer, pp. 198-208, 2010."
121,7,"D. Günther, J. Reininghaus, S. Prohaska, T. Weinkauf and H.-C. Hege, ""Efficient computation of a hierarchy of discrete 3d gradient vector fields"", Proc. TopoInVis, April 2011."
122,7,"A. Gyulassy, P.-T. Bremer, B. Hamann and V. Pascucci, ""A practical approach to Morse-Smale complex computation: scalability and generality"", IEEE Transactions on Visualization and Computer Graphics, vol. 14, pp. 1619-1626, 2008."
123,7,"T. Kaczynski, K. Mischaikow and M. Mrozek, Computational Homology ser. Applied Math. Sciences, Springer-Verlag, vol. 157, 2004."
124,7,"A. Hatcher, Algebraic Topology, Cambridge, U.K.:Cambridge University Press, 2002."
125,7,"D. Cohen-Steiner, H. Edelsbrunner and J. Harer, ""Stability of persistence diagrams"", Disc. and Comp. Geometry, vol. 37, pp. 103-120, 2007."
126,7,"M. K. Chari, ""On discrete Morse functions and combinatorial decompositions"", Discrete Math., vol. 217, no. 1–3, pp. 101-113, 2000."
127,7,"S. Röttger, [online] Available: http://www9.informatik.uni-erlangen.de/External/vollib/."
128,7,[online] Available: http://www.cg.tuwien.ac.at/research/vis/datasets/#Data.
129,7,"""Volvis: Voxel data repository"", 2010, [online] Available: http://www.volvis.org/."
130,7,"H. Edelsbrunner and J. Harer, Computational Topology. An Introduction, January 2010."
