"description","estado","sigla","regiao","IA"
"Computer Graphics Laboratory-COPPE, Federal University of Rio de Janeiro, Rio de Janeiro, Rio de Janeiro, Brazil",Rio de Janeiro,RJ,Sudeste
"Department of Electronics Engineering (DEL-EE)-COPPE, Federal University of Rio de Janeiro, Rio de Janeiro, Rio de Janeiro, Brazil",Rio de Janeiro,RJ,Sudeste
"Computer Graphics Laboratory-COPPE, Federal University of Rio de Janeiro, Rio de Janeiro, Rio de Janeiro, Brazil",Rio de Janeiro,RJ,Sudeste
"Universidade Estadual de Campinas, Campinas, SP, BR",São Paulo,SP,Sudeste
"Pontificia Univ. Catolica do Parana, Curitiba, Brazil",Paraná,PR,Sul
"PUCPR-Pontifícia Universidade Católica do Paraná, Curitiba, Parana, Brazil",Paraná,PR,Sul
"Pontificia Universidade Catolica do Parana, Curitiba, PR, BR",Paraná,PR,Sul
"PUCPR-Pontifícia Universidade Católica do Paraná, Curitiba, Parana, Brazil",Paraná,PR,Sul
"PUCPR-Pontifícia Universidade Católica do Paraná, Curitiba, Parana, Brazil",Paraná,PR,Sul
"Pontificia Universidade Catolica do Parana, Curitiba, PR, BR",Paraná,PR,Sul
"Pontificia Universidade Catolica do Parana, Curitiba, PR, BR",Paraná,PR,Sul
"PPGIA-Programa de Pós-Graduação em Informática Aplicada LAEDOC-Laboratório de Análise e Reconhecimento de Documentos, PUCPR-Pontifícia Universidade Católica do Paraná, Curitiba, Brazil",Paraná,PR,Sul
"Pontificia Universidade Catolica do Parana, Curitiba, PR, BR",Paraná,PR,Sul
"PPGIA-Programa de Pós-Graduação em Informática Aplicada LAEDOC-Laboratório de Análise e Reconhecimento de Documentos, PUCPR-Pontifícia Universidade Católica do Paraná, Curitiba, Brazil",Paraná,PR,Sul
"PPGIA-Programa de Pós-Graduação em Informática Aplicada LAEDOC-Laboratório de Análise e Reconhecimento de Documentos, PUCPR-Pontifícia Universidade Católica do Paraná, Curitiba, Brazil",Paraná,PR,Sul
"Laboratoire d'Imagerie, de Vision et d'Intelligence Artificielle, Ecole de Technologie Supérieure, Montreal, QUE, Canada",Internacional,,
"IMPA-Instituto de Matemática Pura e Aplicada, Brazil",Rio de Janeiro,RJ,Sudeste
"IMPA-Instituto de Matemática Pura e Aplicada, Brazil",Rio de Janeiro,RJ,Sudeste
"IMPA-Instituto de Matemática Pura e Aplicada, Brazil",Rio de Janeiro,RJ,Sudeste
"Pontifícia Universidade Católica do Rio Grande do Sul, Faculdade de Informática, Porto Alegre, Rio Grande do Sul, Brazil",Rio Grande do Sul,RS,Sul
"IMPA-Instituto de Matemática Pura e Aplicada, Rio de Janeiro, Rio de Janeiro, Brazil",Rio de Janeiro,RJ,Sudeste
"Universidade do Vale do Rio dos Sinos, Sao Leopoldo, Rio Grande do Sul, Brazil",Rio Grande do Sul,RS,Sul
"Universidade do Vale do Rio dos Sinos, Sao Leopoldo, Rio Grande do Sul, Brazil",Rio Grande do Sul,RS,Sul
"Electrical and Computer Engineering Faculty, State University of Campinas, Sao Paulo, Brazil",São Paulo,SP,Sudeste
"Electrical and Computer Engineering Faculty, State University of Campinas, Sao Paulo, Brazil",São Paulo,SP,Sudeste
"Institute of Mathematics, State University of Campinas, Sao Paulo, Brazil",São Paulo,SP,Sudeste
"Dept. de Computacao, Univ. Fed. de Sao Carlos, Brazil",São Paulo,SP,Sudeste
"Depto. de Computação, Universidade Federal de São Carlos, Sao Carlos, SP, Brazil",São Paulo,SP,Sudeste
"Laboratório Associado de Computação, Instituto Nacional de Pesquisas Espaciais, Sa Jose dos Campos, SP, Brazil",São Paulo,SP,Sudeste
"Department of Electrical and Computer Engineering, University of Calgary, Alberta, Canada",Internacional,,
"Department of Electrical and Computer Engineering, University of Calgary, Alberta, Canada",Internacional,,
"Department of Electrical Engineering, University of São Paulo, Sao Carlos, SP, Brazil",São Paulo,SP,Sudeste
"Alberta Cancer Board, Alberta, Canada",Internacional,,
"Department of Electrical and Computer Engineering, University of Calgary, Alberta, Canada",Internacional,,
"Nucleus of Science and Technology, University of Mogi das Cruzes, Mogi das Cruzes, SP, Brazil",São Paulo,SP,Sudeste
"Department of Electrical Engineering, University of São Paulo, Sao Carlos, SP, Brazil",São Paulo,SP,Sudeste
"Inst. de Inf., Univ. Fed. do Rio Grande do Sul, Porto Alegre, Brazil",Rio Grande do Sul,RS,Sul
"CTA ITA IEC, Instituto Tecnológico de Aeronáutica, Sao Jose dos Campos, Brazil",São Paulo,SP,Sudeste
"ICMC-USP-Instituto de Ciêcias Matemiticas e de Computação, Universidade de Sáo Paulo, Sao Paulo, Brazil",São Paulo,SP,Sudeste
"CTA ITA IEC, Instituto Tecnológico de Aeronáutica, Sao Jose dos Campos, Brazil",São Paulo,SP,Sudeste
"Embrapa Agricultural Instrumentation, Sao Paulo, Brazil",São Paulo,SP,Sudeste
"Physics Department, Obafemi Awolowo University, Ife, Nigeria",Internacional,,
"Department of Informatics, PUC-Rio, ICAD-Intelligent CAD Laboratory, Rio de Janeiro, Brazil",Rio de Janeiro,RJ,Sudeste
"Department of Informatics, PUC-Rio, ICAD-Intelligent CAD Laboratory, Rio de Janeiro, Brazil",Rio de Janeiro,RJ,Sudeste
"LCG, Universidade Federal do Rio de Janeiro, Rio de Janeiro, Rio de Janeiro, Brazil",Rio de Janeiro,RJ,Sudeste
"Laboratoire d''Analyse et d''Architecture des Systèmes (LAAS-CNRS), Toulouse, France",Internacional,,
"State University of New York, Stony Brook, Stony Brook, NY, USA",Internacional,,
"LCG, Universidade Federal do Rio de Janeiro, Rio de Janeiro, Rio de Janeiro, Brazil",Rio de Janeiro,RJ,Sudeste
"Computer Graphics and Vision, Graz University of Technology, Graz, Austria",Internacional,,
